codigo,label_pt,dominio_num,dominio,classe_num,classe,definicao,status
00002,Nutrição desequilibrada: menor do que as necessidades corporais,,Nutrição,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00004,Risco de infecção,11,Segurança/proteção,1,Infecção,Suscetibilidade à invasão e multiplicação de organismos patogênicos.,Ativo na NANDA-I 2024-2026
00007,Hipertermia,11,Segurança/proteção,6,Termorregulação,"Elevação anormal da temperatura corporal, geralmente como resultado da inabilidade de regular a temperatura corporal central devido a fatores não patológicos. [Consulte critérios de estadiamento.]",Ativo na NANDA-I 2024-2026
00008,Termorregulação ineficaz,11,Segurança/proteção,6,Termorregulação,Inabilidade de manter ou regular a temperatura corporal dentro de uma faixa de normalidade.,Ativo na NANDA-I 2024-2026
00010,Risco de disreflexia autonômica,9,Enfrentamento/tolerância ao estresse,3,Respostas neurocomportamentais,"Suscetibilidade a uma resposta não inibida do sistema nervoso simpático, que representa uma ameaça à vida, pós-choque medular, em indivíduo com lesão de medula espinal ou lesão na sexta vértebra torácica (T6) ou acima (foi demonstrada em pacientes com lesões na sétima vértebra torácica [T7] e na oitava vértebra torácica [T8]).",Ativo na NANDA-I 2024-2026
00011,Constipação,,Eliminação e troca,,,,Retirado na 2024-2026 (sintoma; integrado a outros diagnósticos)
00015,Risco de constipação,,Eliminação e troca,,,,Retirado na 2024-2026; representado por 00346 Risco de eliminação intestinal prejudicada
00016,Eliminação urinária prejudicada,3,Eliminação e troca,1,Função urinária,Inabilidade de excretar de forma efetiva fluidos e resíduos armazenados na bexiga pela uretra.,Ativo na NANDA-I 2024-2026
00017,Incontinência urinária de esforço,3,Eliminação e troca,1,Função urinária,"Perda involuntária de urina com atividades que aumentam a pressão intra-abdominal, não associada a urgência para urinar.",Ativo na NANDA-I 2024-2026
00019,Incontinência urinária de urgência,3,Eliminação e troca,1,Função urinária,Perda involuntária de urina associada a um desejo abrupto e intenso de urinar.,Ativo na NANDA-I 2024-2026
00022,Risco de incontinência urinária de urgência,3,Eliminação e troca,1,Função urinária,Suscetibilidade à perda involuntária de urina associada a um desejo abrupto e intenso de urinar.,Ativo na NANDA-I 2024-2026
00023,Retenção urinária,,Eliminação e troca,,,,Retirado na 2024-2026
00024,Perfusão tissular periférica ineficaz,,Atividade/repouso,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00025,Risco de volume de líquidos desequilibrado,,Nutrição,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00026,Volume de líquidos excessivo,2,Nutrição,5,Hidratação,Retenção excessiva de líquido intracelular e/ou extracelular.,Ativo na NANDA-I 2024-2026
00027,Volume de líquidos deficiente,,Nutrição,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00030,Troca de gases prejudicada,3,Eliminação e troca,4,Função respiratória,Excesso ou inadequação na oxigenação e/ou na eliminação de dióxido de carbono.,Ativo na NANDA-I 2024-2026
00031,Desobstrução ineficaz das vias aéreas,11,Segurança/proteção,2,Lesão física,Habilidade reduzida de eliminar secreções ou obstruções do trato respiratório para manter o fluxo de ar.,Ativo na NANDA-I 2024-2026
00032,Padrão respiratório ineficaz,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,Dificuldade em manter a ventilação adequada durante a inspiração e/ou a expiração.,Ativo na NANDA-I 2024-2026
00033,Ventilação espontânea prejudicada,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,Incapacidade de iniciar e/ou manter respiração independente que é adequada para sustentação da vida.,Ativo na NANDA-I 2024-2026
00039,Risco de aspiração,11,Segurança/proteção,2,Lesão física,"Suscetibilidade à entrada de secreções gastrintestinais, secreções orofaríngeas, sólidos ou líquidos nas vias traqueobrônquicas.",Ativo na NANDA-I 2024-2026
00040,Risco de síndrome do desuso,,Atividade/repouso,,,,Retirado na 2024-2026
00042,Risco de reação alérgica ao látex,11,Segurança/proteção,5,Processos defensivos,Suscetibilidade a uma resposta imunológica excessiva a produtos de borracha de látex natural ou alimentos reativos ao látex.,Ativo na NANDA-I 2024-2026
00044,Integridade tissular prejudicada,11,Segurança/proteção,2,Lesão física,"Dano em mucosa, córnea, sistema tegumentar, fáscia muscular, músculo, tendão, vasos sanguíneos, tecido linfático, osso, cartilagem, cápsula articular e/ou ligamento.",Ativo na NANDA-I 2024-2026
00045,Integridade da mucosa oral prejudicada,11,Segurança/proteção,2,Lesão física,"Dano localizado nos lábios, tecidos moles, cavidade oral e/ou orofaringe.",Ativo na NANDA-I 2024-2026
00046,Integridade da pele prejudicada,11,Segurança/proteção,2,Lesão física,Dano à epiderme e/ou à derme.,Ativo na NANDA-I 2024-2026
00047,Risco de integridade da pele prejudicada,11,Segurança/proteção,2,Lesão física,Suscetibilidade a dano à epiderme e/ou à derme.,Ativo na NANDA-I 2024-2026
00051,Comunicação verbal prejudicada,5,Percepção/cognição,5,Comunicação,"Limitação ou ausência da habilidade de receber, processar, transmitir e/ou usar um sistema de símbolos.",Ativo na NANDA-I 2024-2026
00052,Interação social prejudicada,7,Papéis e relacionamentos,3,Desempenho de papéis,Quantidade inadequada/excessiva ou qualidade inadequada de intercâmbio social.,Ativo na NANDA-I 2024-2026
00055,Desempenho de papel ineficaz,7,Papéis e relacionamentos,3,Desempenho de papéis,"Padrão de comportamento e autoexpressão que não combina com o contexto, as normas e as expectativas do ambiente.",Ativo na NANDA-I 2024-2026
00068,Disposição para bem-estar espiritual melhorado,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Padrão de integração de significado e propósito à vida por meio de conexões consigo mesmo, com os outros, com o mundo e/ou com um poder maior que si mesmo, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00075,Disposição para enfrentamento familiar melhorado,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Padrão de esforços cognitivos e/ou comportamentais da família para manejar uma situação estressante ou desagradável, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00076,Disposição para enfrentamento melhorado da comunidade,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Padrão de atividades da comunidade para adaptação e resolução de problemas que atende às demandas ou necessidades da comunidade, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00080,Gestão ineficaz da saúde familiar,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de sintomas, regime terapêutico e mudanças no estilo de vida para atender às metas específicas de saúde da unidade familiar.",Ativo na NANDA-I 2024-2026
00085,Mobilidade física prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação do movimento independente e intencional do corpo ou de uma ou mais extremidades.,Ativo na NANDA-I 2024-2026
00087,Risco de lesão por posicionamento perioperatório,11,Segurança/proteção,2,Lesão física,Suscetibilidade a danos corporais inadvertidos devido à postura ou ao equipamento de posicionamento necessários durante um procedimento invasivo e/ ou cirúrgico.,Ativo na NANDA-I 2024-2026
00089,Mobilidade prejudicada com cadeira de rodas,4,Atividade/repouso,2,Atividade/exercício,Limitação na operação de uma cadeira de rodas de forma independente pelo ambiente.,Ativo na NANDA-I 2024-2026
00091,Mobilidade no leito prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação do movimento independente de uma posição para outra no leito.,Ativo na NANDA-I 2024-2026
00092,Intolerância à atividade,,Atividade/repouso,,,,Renomeado para 00298 Tolerância à atividade diminuída
00095,Insônia,,Atividade/repouso,,,,Retirado na 2024-2026; representado por 00337 Padrão de sono ineficaz
00097,Engajamento diminuído em atividades de recreação,1,Promoção da saúde,1,Percepção da saúde,"Estimulação, interesse ou participação reduzidos em atividades recreativas ou de lazer.",Ativo na NANDA-I 2024-2026
00102,Déficit no autocuidado para alimentação,,Atividade/repouso,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00103,Deglutição prejudicada,2,Nutrição,1,Ingestão,Processo enfraquecido ou deteriorado de movimentação de substâncias da boca para o estômago.,Ativo na NANDA-I 2024-2026
00108,Déficit no autocuidado para banho,,Atividade/repouso,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00109,Déficit no autocuidado para vestir-se,,Atividade/repouso,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00110,Déficit no autocuidado para higiene íntima,,Atividade/repouso,,,,Retirado em edição anterior à 2024-2026 (não consta no PDF)
00126,Conhecimento deficiente,,Percepção/cognição,,,,Retirado na 2024-2026 (revisado para refletir 'conhecimento em saúde')
00128,Confusão aguda,5,Percepção/cognição,4,Cognição,"Alterações reversíveis de consciência, atenção, cognição e percepção que surgem em um período de tempo breve, com duração inferior a 3 meses.",Ativo na NANDA-I 2024-2026
00129,Confusão crônica,5,Percepção/cognição,4,Cognição,"Alterações irreversíveis, progressivas e insidiosas de consciência, atenção, cognição e percepção, com duração superior a 3 meses.",Ativo na NANDA-I 2024-2026
00131,Memória prejudicada,5,Percepção/cognição,4,Cognição,"Inabilidade persistente de adquirir, recordar ou recuperar partes de informações ou habilidades, com manutenção da habilidade de realizar atividades da vida diária de forma independente.",Ativo na NANDA-I 2024-2026
00132,Dor aguda,12,Conforto,1,Conforto físico,"Experiência sensorial e emocional desagradável, associada ou semelhante à associada a um dano tecidual real ou potencial, com duração inferior a 3 meses. [International Association for the Study of Pain, 2020.]",Ativo na NANDA-I 2024-2026
00133,Dor crônica,12,Conforto,1,Conforto físico,"Experiência sensorial e emocional desagradável, associada ou semelhante à associada a um dano tecidual real ou potencial, com duração superior a 3 meses. [International Association for the Study of Pain, 2020.]",Ativo na NANDA-I 2024-2026
00138,Risco de violência direcionada a outros,11,Segurança/proteção,3,Violência,"Suscetibilidade a comportamento física, emocional e/ou sexualmente prejudicial a outra pessoa.",Ativo na NANDA-I 2024-2026
00141,Síndrome pós-trauma,9,Enfrentamento/tolerância ao estresse,1,Respostas pós-trauma,Resposta desadaptativa sustentada a um evento traumático e opressivo.,Ativo na NANDA-I 2024-2026
00145,Risco de síndrome pós-trauma,9,Enfrentamento/tolerância ao estresse,1,Respostas pós-trauma,Suscetibilidade a resposta desadaptativa sustentada a um evento traumático e opressivo.,Ativo na NANDA-I 2024-2026
00146,Ansiedade,,Enfrentamento/tolerância ao estresse,,,,Retirado na 2024-2026; representado por 00400 Ansiedade excessiva
00155,Risco de quedas,,Segurança/proteção,,,,Renomeado para 00303 Risco de quedas no adulto
00156,Risco de morte súbita do lactente,11,Segurança/proteção,2,Lesão física,Suscetibilidade a uma morte abrupta e inexplicável em crianças aparentemente saudáveis com menos de 1 ano de idade.,Ativo na NANDA-I 2024-2026
00158,Disposição para enfrentamento melhorado,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Padrão de esforços cognitivos e/ou comportamentais para manejar uma situação estressante ou desagradável, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00159,Disposição para processos familiares melhorados,7,Papéis e relacionamentos,2,Relações familiares,"Padrão de relações familiares que sustentam o bem-estar de seus membros, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00167,Disposição para autoconceito melhorado,6,Autopercepção,1,Autoconceito,"Padrão de percepções ou ideias sobre si mesmo, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00169,Religiosidade prejudicada,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Comprometimento diminuído com crenças, princípios e atividades baseados na fé.",Ativo na NANDA-I 2024-2026
00170,Risco de religiosidade prejudicada,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Suscetibilidade a comprometimento diminuído com crenças, princípios e atividades baseados na fé.",Ativo na NANDA-I 2024-2026
00171,Disposição para religiosidade melhorada,10,Princípios da vida,3,Coerência entre valores/crenças/atos,"Padrão de comprometimento com crenças, princípios e atividades baseados na fé, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00173,Risco de confusão aguda,5,Percepção/cognição,4,Cognição,"Suscetibilidade a alterações reversíveis de consciência, atenção, cognição e percepção que surgem em um período de tempo breve.",Ativo na NANDA-I 2024-2026
00175,Sofrimento moral,10,Princípios da vida,3,Coerência entre valores/crenças/atos,Resposta à inabilidade de colocar em prática as decisões e/ou ações éticas ou morais escolhidas. Característica definidora Angústia relativa a agir conforme a própria escolha moral,Ativo na NANDA-I 2024-2026
00180,Risco de contaminação,11,Segurança/proteção,4,Riscos ambientais,Suscetibilidade à exposição a substâncias nocivas no ambiente em níveis que podem causar efeitos adversos à saúde.,Ativo na NANDA-I 2024-2026
00181,Contaminação,11,Segurança/proteção,4,Riscos ambientais,Exposição a substâncias nocivas no ambiente em níveis que podem causar efeitos adversos à saúde.,Ativo na NANDA-I 2024-2026
00184,Disposição para tomada de decisão melhorada,5,Percepção/cognição,4,Cognição,"Padrão de escolhas que afetam as metas relacionadas à saúde, o bem-estar e a qualidade de vida, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00185,Disposição para esperança melhorada,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,"Padrão de expectativas e desejos de mobilização de energias para alcançar resultados positivos, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00194,Hiperbilirrubinemia neonatal,2,Nutrição,4,Metabolismo,Acúmulo de bilirrubina não conjugada na circulação acima do percentil 95 para a idade durante a primeira semana de vida.,Ativo na NANDA-I 2024-2026
